rank,primary_isbn13,publisher,description,price,title,author,age_group,list,date,month_on_list
16,9780446573009,Grand Central Publishing,"When something about his latest mission seems wrong, the government assassin Will Robie refuses to kill. Now he’s a target himself. ",0.0,THE INNOCENT,David Baldacci,,combined-print-and-e-book-fiction,2012-07-01,3.0
17,9781420128444,Kensington,"A nightmare is unfolding for the Grizzly Falls detectives Selena Alvarez and Regan Pescoli: the frozen bodies of two women have been found, each wearing a piece of Alvarez’s jewelry.",0.0,AFRAID TO DIE,Lisa Jackson,,combined-print-and-e-book-fiction,2012-07-01,1.0
18,9781101584910,Penguin Group,"When a Minnesota family is murdered, the Minneapolis investigator Lucas Davenport believes a Mexican drug gang is involved. ",0.0,STOLEN PREY,John Sandford,,combined-print-and-e-book-fiction,2012-07-01,2.0
19,9781101585009,Penguin Group,"In the Indian Ocean, a NUMA research vessel is reduced to a smoldering hulk by a swarm of black particles, and Kurt Austin and his crew uncover a mad scheme to control the world’s weather.",0.0,THE STORM,Clive Cussler and Graham Brown,,combined-print-and-e-book-fiction,2012-07-01,1.0
20,A00B0052VUNHC,Jamie McGuire,"Abby believes she has enough distance from her dark past, but at college she’s quickly challenged by an attractive but dangerous man.",0.0,BEAUTIFUL DISASTER,Jamie McGuire,,combined-print-and-e-book-fiction,2012-07-01,1.0
1,9781612130293,Knopf Doubleday Publishing,An inexperienced college student falls in love with a tortured man who has particular sexual tastes; the first book in a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2012-08-01,21.0
2,9781612130590,Knopf Doubleday Publishing,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2012-08-01,15.0
3,9781612130613,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2012-08-01,14.0
4,9780062073174,HarperCollins Publishers,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, discovers a global criminal enterprise behind a murder in Rome.",0.0,THE FALLEN ANGEL,Daniel Silva,,combined-print-and-e-book-fiction,2012-08-01,1.0
5,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2012-08-01,26.0
6,9781101604786,Penguin Group,"Two troubled people develop an intense, obsessive relationship.",0.0,BARED TO YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-08-01,7.0
7,9780345537102,Delacorte Press,"In this e-book story, Jack Reacher is summoned to Washington to find the source of a leak about a new weapon.",0.0,DEEP DOWN,Lee Child,,combined-print-and-e-book-fiction,2012-08-01,2.0
8,9780316097475,"Little, Brown & Company",A New York detective takes refuge with his 10 children in an upstate cabin.,0.0,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2012-08-01,2.0
9,9781101578933,Penguin Group,"An Oxford scholar/witch and a vampire geneticist pursue history, secrets and each other in Elizabethan London; Book 2 of the All Souls trilogy.",0.0,SHADOW OF NIGHT,Deborah Harkness,,combined-print-and-e-book-fiction,2012-08-01,1.0
10,9781451648157,Simon & Schuster,The Louisiana detective Dave Robicheaux hunts for a missing Cajun singer.,0.0,CREOLE BELLE,James Lee Burke,,combined-print-and-e-book-fiction,2012-08-01,1.0
11,A00B006RUJST6,Colleen Hoover,"A girl falls in love with a neighbor who enjoys slam poetry, but they encounter obstacles.",0.0,SLAMMED,Colleen Hoover,,combined-print-and-e-book-fiction,2012-08-01,1.0
12,9780345803573,Knopf Doubleday Publishing,The three “Fifty Shades” novels in one bundle.,0.0,FIFTY SHADES TRILOGY,E L James,,combined-print-and-e-book-fiction,2012-08-01,6.0
13,A00B00790TI0W,Entangled Publishing,A billionaire who needs a wife offers a one-year marriage in name only to a bookstore owner.,0.0,THE MARRIAGE BARGAIN,Jennifer Probst,,combined-print-and-e-book-fiction,2012-08-01,5.0
14,9781101587324,Penguin Group,The F.B.I. agents Dillon Savich and Lacey Sherlock investigate the murder of a judge.,0.0,BACKFIRE,Catherine Coulter,,combined-print-and-e-book-fiction,2012-08-01,1.0
15,9780345530561,Random House Publishing,Partners in a small law firm take on a big case.,0.0,THE LITIGATORS,John Grisham,,combined-print-and-e-book-fiction,2012-08-01,1.0
16,9781429942515,St. Martin's Press,"Kendra Michaels, who honed her other senses when she was blind for the first 20 years of her life, helps the F.B.I. track a serial killer who has abducted her ex-lover.",0.0,CLOSE YOUR EYES,Iris Johansen and Roy Johansen,,combined-print-and-e-book-fiction,2012-08-01,1.0
17,9780553897845,Random House Publishing,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2012-08-01,22.0
18,9781451617771,Atria Books,"A young woman who moves to Hollywood to make it in television finds success, but her life remains complicated.",0.0,THE NEXT BEST THING,Jennifer Weiner,,combined-print-and-e-book-fiction,2012-08-01,1.0
19,9781101475690,Penguin Group,"The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring. Read by Jennifer Ikeda. 23 hours, 59 minutes unabridged.",0.0,A DISCOVERY OF WITCHES,Deborah Harkness,,combined-print-and-e-book-fiction,2012-08-01,4.0
20,2940011285769,Rerum Publishing House,"When a woman stands up to her aggravating neighbor, romance ensues. A Neighbor From Hell novel.",0.0,PLAYING FOR KEEPS,R L Mathewson,,combined-print-and-e-book-fiction,2012-08-01,1.0
1,9780345803481,Knopf Doubleday Publishing,An inexperienced college student falls in love with a tortured man who has particular sexual tastes; the first book in a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2012-09-01,4.0
2,9781612130590,Knopf Doubleday Publishing,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2012-09-01,15.0
3,9781612130613,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2012-09-01,14.0
4,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2012-09-01,26.0
5,9780345535115,Random House Publishing,A young widow buys a bed-and-breakfast.,0.0,THE INN AT ROSE HARBOR,Debbie Macomber,,combined-print-and-e-book-fiction,2012-09-01,1.0
6,9781101604786,Penguin Group,"Two troubled people develop an intense, obsessive relationship.",0.0,BARED TO YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-09-01,7.0
7,9781429957861,St. Martin's Press,A woman’s successful life is disrupted by the appearance of an 18-year-old girl with a link to her past.,0.0,WHERE WE BELONG,Emily Giffin,,combined-print-and-e-book-fiction,2012-09-01,1.0
8,9781451626148,Simon & Schuster,"Chicanery in the court of Edward IV, narrated by Anne Neville.",0.0,THE KINGMAKER’S DAUGHTER,Philippa Gregory,,combined-print-and-e-book-fiction,2012-09-01,1.0
9,9781439193068,Simon & Schuster,"If the counterterrorism operative Scot Harvath can discover who has targeted him for death, he can prevent a terrorist attack.",0.0,BLACK LIST,Brad Thor,,combined-print-and-e-book-fiction,2012-09-01,1.0
10,9781101108987,Penguin Group,"Longstanding grudges resurface when a family honors its patriarch’s last request, that his survivors spend the week together.",0.0,THIS IS WHERE I LEAVE YOU,Jonathan Tropper,,combined-print-and-e-book-fiction,2012-09-01,2.0
11,9781451681765,Scribner,An Australian lighthouse keeper and his wife decide to keep a baby who has washed ashore.,0.0,THE LIGHT BETWEEN OCEANS,M L Stedman,,combined-print-and-e-book-fiction,2012-09-01,6.0
12,9780446547642,Grand Central Publishing,"Twenty-five years after their high school romance ended, a man and woman who have gone their separate ways return to their North Carolina town for the funeral of a friend.",0.0,THE BEST OF ME,Nicholas Sparks,,combined-print-and-e-book-fiction,2012-09-01,1.0
13,9781476712055,Jamie McGuire,A college girl in search of a new beginning makes a bet with an attractive but dangerous man.,0.0,BEAUTIFUL DISASTER,Jamie McGuire,,combined-print-and-e-book-fiction,2012-09-01,1.0
14,A00B008NGFLPC,Entangled Publishing,"An injured martial arts fighter struggles to win the heart of his conditioning trainer, before she gives it to somebody else.",0.0,SEDUCING CINDERELLA,Gina L Maxwell,,combined-print-and-e-book-fiction,2012-09-01,1.0
15,A00B00790TI0W,Entangled Publishing,A billionaire who needs a wife offers a one-year marriage in name only to a bookstore owner.,0.0,THE MARRIAGE BARGAIN,Jennifer Probst,,combined-print-and-e-book-fiction,2012-09-01,5.0
16,9780345803573,Knopf Doubleday Publishing,The three “Fifty Shades” novels in one bundle.,0.0,FIFTY SHADES TRILOGY,E L James,,combined-print-and-e-book-fiction,2012-09-01,6.0
17,9780345537102,Delacorte Press,"In this e-book story, Jack Reacher is summoned to Washington to find out who is leaking information about plans for a state-of-the-art sniper rifle for U.S. forces.",0.0,DEEP DOWN,Lee Child,,combined-print-and-e-book-fiction,2012-09-01,2.0
18,9780345533586,Random House Publishing,"Odd Thomas, who can communicate with the dead, explores the mysteries of an old estate now owned by a reclusive billionaire. ",0.0,ODD APOCALYPSE,Dean Koontz,,combined-print-and-e-book-fiction,2012-09-01,1.0
19,9780316097475,"Little, Brown & Company",A New York detective takes refuge with his 10 children in an upstate cabin.,0.0,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2012-09-01,2.0
20,9781569479827,"Soho Press, Incorporated",A nurse makes a shocking discovery: a naked and drugged boy hidden in a locker at the Copenhagen train station.,0.0,THE BOY IN THE SUITCASE,Lene Kaaberbol,,combined-print-and-e-book-fiction,2012-09-01,2.0
1,9781101591437,Penguin Group,"n Book 2 of the Century trilogy, members of five interrelated families from five countries grapple with the tumultuous historical events of the years 1939-49.",0.0,WINTER OF THE WORLD,Ken Follett,,combined-print-and-e-book-fiction,2012-10-01,2.0
2,9781612130293,Knopf Doubleday Publishing,An inexperienced college student falls in love with a tortured man who has particular sexual tastes; the first book in a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2012-10-01,21.0
3,9781612130590,Knopf Doubleday Publishing,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2012-10-01,15.0
4,9781612130613,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2012-10-01,14.0
5,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2012-10-01,26.0
6,9780440339366,Random House Publishing,"A carload of people involved in a conspiracy pick up a disheveled hitchhiker, Child’s vigilante hero Jack Reacher.",0.0,A WANTED MAN,Lee Child,,combined-print-and-e-book-fiction,2012-10-01,2.0
7,9781455501533,Grand Central Publishing,A woman makes disturbing discoveries — and acquires a stalker — when she writes a book about her sister’s murder.,0.0,LOW PRESSURE,Sandra Brown,,combined-print-and-e-book-fiction,2012-10-01,1.0
8,9781101600535,Penguin Group,"Stone Barrington travels to Bel-Air for the opening of a luxury hotel, where terrorists have targeted the president.",0.0,SEVERE CLEAR,Stuart Woods,,combined-print-and-e-book-fiction,2012-10-01,1.0
9,9781401304706,Hyperion Press,A fable about the inventor of the world’s first clock; from the author of “Tuesdays With Morrie.”,0.0,THE TIME KEEPER,Mitch Albom,,combined-print-and-e-book-fiction,2012-10-01,1.0
10,9781101604786,Penguin Group,"Two troubled people develop an intense, obsessive relationship.",0.0,BARED TO YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-10-01,7.0
11,9781101543559,Penguin Group,Five interrelated families from five countries are caught in the upheavals of World War I and the Russian Revolution.,0.0,FALL OF GIANTS,Ken Follett,,combined-print-and-e-book-fiction,2012-10-01,1.0
12,9780316097437,"Little, Brown & Company",A young biologist warns world leaders about the reasons for escalating animal attacks on cities.,0.0,ZOO,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2012-10-01,2.0
13,9781101600207,Penguin Group,"Lt. Eve Dallas investigates a mass delusion at a bar her husband owns; by Nora Roberts, writing pseudonymously",0.0,DELUSION IN DEATH,J D Robb,,combined-print-and-e-book-fiction,2012-10-01,1.0
14,9781101608562,Penguin Group,Two more chapters in the serial erotic novel about Francesca Arno and Ian Noble’s passionate affair.,0.0,"BECAUSE YOU ARE MINE, PART VIII",Beth Kery,,combined-print-and-e-book-fiction,2012-10-01,1.0
15,9780446576468,Grand Central Publishing,Maddie leaves Los Angeles to take over a ramshackle inn left to her by her mother. A Lucky Harbor novel.,0.0,SIMPLY IRRESISTIBLE,Jill Shalvis,,combined-print-and-e-book-fiction,2012-10-01,1.0
16,9781429944687,Tom Doherty Associates,"In Book 6 of the Safehold science fiction series, the republic of Siddamark descends into chaos.",0.0,MIDST TOIL AND TRIBULATION,David Weber,,combined-print-and-e-book-fiction,2012-10-01,1.0
17,9781101517062,Penguin Group,A chance encounter and its consequences provide a 25-year-old woman access to the New York social circle in the 1930s.,0.0,RULES OF CIVILITY,Amor Towles,,combined-print-and-e-book-fiction,2012-10-01,1.0
18,9781451681765,Scribner,An Australian lighthouse keeper and his wife decide to keep a baby who has washed ashore.,0.0,THE LIGHT BETWEEN OCEANS,M L Stedman,,combined-print-and-e-book-fiction,2012-10-01,6.0
19,9781101600238,Penguin Group,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, search for the tomb of Attila the Hun.",0.0,THE TOMBS,Clive Cussler and Thomas Perry,,combined-print-and-e-book-fiction,2012-10-01,1.0
20,A00B008NIJK9I,Entangled Publishing,A prim art gallery coordinator's night of seduction winds up hooking the wrong man.,0.0,"WRONG BED, RIGHT GUY",Katee Robert,,combined-print-and-e-book-fiction,2012-10-01,1.0
1,9781101606636,Penguin Group,A paleontologist’s disappearance in Canada turns out to be connected to crimes much closer to home for the chief medical examiner Kay Scarpetta; the 20th Scarpetta book.,0.0,THE BONE BED,Patricia Cornwell,,combined-print-and-e-book-fiction,2012-11-01,1.0
2,9781455518371,Grand Central Publishing,"The anti-terrorist task force agent John Corey and his wife, an F.B.I. agent, pursue a high-ranking Qaeda operative in Yemen — who is out to avenge the death of a Libyan terrorist killed by Corey.",0.0,THE PANTHER,Nelson DeMille,,combined-print-and-e-book-fiction,2012-11-01,2.0
3,9780345534897,Random House Publishing,A sequel to “The Passage” continues its story of life after an apocalypse.,0.0,THE TWELVE,Justin Cronin,,combined-print-and-e-book-fiction,2012-11-01,1.0
4,9781612130293,Knopf Doubleday Publishing,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2012-11-01,21.0
5,9780316228534,"Little, Brown & Company",The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town; a novel for adults by the creator of Harry Potter.,0.0,THE CASUAL VACANCY,J K Rowling,,combined-print-and-e-book-fiction,2012-11-01,6.0
6,9781612130613,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2012-11-01,14.0
7,9781101604915,Penguin Group,"Eva and Gideon, of “Bared to You,” continue to struggle to make their relationship work.",0.0,REFLECTED IN YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-11-01,3.0
8,9781612130590,Knopf Doubleday Publishing,Ana Steele  learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2012-11-01,15.0
9,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2012-11-01,26.0
10,9780316199896,"Little, Brown & Company",Detective Zach Jordan must stop a deranged killer at a New York film festival.,0.0,NYPD RED,James Patterson and Marshall Karp,,combined-print-and-e-book-fiction,2012-11-01,1.0
11,9781439163092,Simon & Schuster,A British actress searches for secrets in her 90-year-old mother’s past.,0.0,THE SECRET KEEPER,Kate Morton,,combined-print-and-e-book-fiction,2012-11-01,1.0
12,9781250018120,St. Martin's Press,The forensic sculptor Eve Duncan investigates when her mother’s friend disappears from a mental hospital.,0.0,SLEEP NO MORE,Iris Johansen,,combined-print-and-e-book-fiction,2012-11-01,1.0
13,9781101604786,Penguin Group,"Two troubled people develop an intense, obsessive relationship.",0.0,BARED TO YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-11-01,7.0
14,9781101602102,Penguin Group,Virgil Flowers joins the hunt for a teenage Bonnie and Clyde.,0.0,MAD RIVER,John Sandford,,combined-print-and-e-book-fiction,2012-11-01,1.0
15,A00B009FG00N2,M. Leighton,"The life of a college student, home to help her father run his business, is turned upside down when she falls in love with twins.",0.0,DOWN TO YOU,M Leighton,,combined-print-and-e-book-fiction,2012-11-01,1.0
16,9781101591437,Penguin Group,"Five interrelated families — American, German, Russian, English and Welsh — grapple with the historical events of the years 1939-49; Book 2 of the Century Trilogy.",0.0,WINTER OF THE WORLD,Ken Follett,,combined-print-and-e-book-fiction,2012-11-01,2.0
17,9780307483041,Random House Publishing,"Six linked stories involve myriad characters and conflicts: from New Zealand in the mid-19th century with a stowaway Moriori, to a Belgian estate in the 1930s, to 1970s California with a plucky journalist.",0.0,CLOUD ATLAS,David Mitchell,,combined-print-and-e-book-fiction,2012-11-01,1.0
18,2940015586626,Cora Carmack,A college senior gets a shock when she decides to end her virginity by means of a one-night stand.,0.0,LOSING IT,Cora Carmack,,combined-print-and-e-book-fiction,2012-11-01,1.0
19,9780440339366,Random House Publishing,"A carload of people involved in a conspiracy pick up a disheveled hitchhiker, Child's vigilante hero Jack Reacher.",0.0,A WANTED MAN,Lee Child,,combined-print-and-e-book-fiction,2012-11-01,2.0
20,A00B009FHSYSY,S.H. Kolee,"Emma Mills's boyfriend leaves her to become a Hollywood star, but she worries when, years later, he wants to come back into her life.",0.0,LOVE LEFT BEHIND,SH Kolee,,combined-print-and-e-book-fiction,2012-11-01,1.0
1,9781439100530,Simon & Schuster,The counterterrorism operative Mitch Rapp searches for a missing C.I.A. asset amid treachery in Afghanistan.,0.0,THE LAST MAN,Vince Flynn,,combined-print-and-e-book-fiction,2012-12-01,1.0
2,9780316210690,"Little, Brown & Company",Detective Alex Cross confronts both a hostage situation and a terrorist act at Christmas.,0.0,"MERRY CHRISTMAS, ALEX CROSS",James Patterson,,combined-print-and-e-book-fiction,2012-12-01,1.0
3,9780385536882,Knopf Doubleday Publishing,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.,0.0,THE RACKETEER,John Grisham,,combined-print-and-e-book-fiction,2012-12-01,3.0
4,9781101612231,Penguin Group,The final volume of the Inn BoonsBoro trilogy sees sparks fly between Ryder Montgomery and the innkeeper.,0.0,THE PERFECT HOPE,Nora Roberts,,combined-print-and-e-book-fiction,2012-12-01,1.0
5,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2012-12-01,26.0
6,9781612130293,Knopf Doubleday Publishing,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2012-12-01,21.0
7,A00B00A45PY8E,Raine Miller Romance,"In Book 2 of the Blackstone Affair trilogy, Brynne has left Ethan, but he is determined to win her back.",0.0,ALL IN,Raine Miller,,combined-print-and-e-book-fiction,2012-12-01,1.0
8,9780385536837,Knopf Doubleday Publishing,A British woman working for MI5 in 1972 falls in love with a writer the service is clandestinely supporting.,0.0,SWEET TOOTH,Ian McEwan,,combined-print-and-e-book-fiction,2012-12-01,1.0
9,9780547416113,Houghton Mifflin Harcourt Publishers,A teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck; originally published in 2002 and now a movie.,0.0,LIFE OF PI,Yann Martel,,combined-print-and-e-book-fiction,2012-12-01,3.0
10,9781612130613,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2012-12-01,14.0
11,9781612130590,Knopf Doubleday Publishing,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2012-12-01,15.0
12,9781101604915,Penguin Group,"Eva and Gideon, of “Bared to You,” continue to struggle to make their relationship work.",0.0,REFLECTED IN YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-12-01,3.0
13,9780399162923,Penguin Group,Dirk Pitt and his team look for the truth about a sophisticated attack submarine.,0.0,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler,,combined-print-and-e-book-fiction,2012-12-01,2.0
14,A00B009LBO334,Jessica Sorensen,"Childhood friends, long separated, get back together.",0.0,THE SECRET OF ELLA AND MICHA,Jessica Sorensen,,combined-print-and-e-book-fiction,2012-12-01,1.0
15,2940044990906,Raine Miller Romance,"Ethan Blackstone, a London businessman, buys a portrait and is determined to bed its model, Brynne Bennett, an American art student. Book 1 of the Blackstone Affair trilogy.",0.0,NAKED,Raine Miller,,combined-print-and-e-book-fiction,2012-12-01,1.0
16,9781455518371,Grand Central Publishing,"The anti-terrorist task force agent John Corey and his wife, an F.B.I. agent, pursue a high-ranking Qaeda operative in Yemen. But the hunters are about to become the hunted. ",0.0,THE PANTHER,Nelson DeMille,,combined-print-and-e-book-fiction,2012-12-01,2.0
17,9780062124265,HarperCollins Publishers,An Appalachian woman becomes involved in an effort to save monarch butterflies.,0.0,FLIGHT BEHAVIOR,Barbara Kingsolver,,combined-print-and-e-book-fiction,2012-12-01,3.0
18,9781101604786,Penguin Group,"Eva and Gideon, recovering from difficult pasts, develop an intense, obsessive relationship.",0.0,BARED TO YOU,Sylvia Day,,combined-print-and-e-book-fiction,2012-12-01,7.0
19,9781619213791,Samhain Publishing,"Macy Rodgers, a country girl at heart, falls for Seth Warren, a tattoo artist who plays in a heavy metal band.",0.0,LEAVE ME BREATHLESS,Cherrie Lynn,,combined-print-and-e-book-fiction,2012-12-01,1.0
20,9780316228534,"Little, Brown & Company",The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town; the author’s first novel for adults.,0.0,THE CASUAL VACANCY,J K Rowling,,combined-print-and-e-book-fiction,2012-12-01,6.0
1,9780307588364,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2013-01-01,20.0
2,9780385535144,Knopf Doubleday Publishing,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.,0.0,THE RACKETEER,John Grisham,,combined-print-and-e-book-fiction,2013-01-01,5.0
3,9780345803481,Knopf Doubleday Publishing,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2013-01-01,4.0
4,9780446574242,Grand Central Publishing,"A young woman, while putting down roots in a small North Carolina town, is haunted by a dark secret from her past.",0.0,SAFE HAVEN,Nicholas Sparks,,combined-print-and-e-book-fiction,2013-01-01,5.0
5,9780446573047,Grand Central Publishing,The military investigator John Puller probes his aunt’s mysterious death in Florida.,0.0,THE FORGOTTEN,David Baldacci,,combined-print-and-e-book-fiction,2013-01-01,3.0
6,9780316210683,"Little, Brown & Company",Detective Alex Cross confronts both a hostage situation and a terrorist act at Christmas.,0.0,"MERRY CHRISTMAS, ALEX CROSS",James Patterson,,combined-print-and-e-book-fiction,2013-01-01,3.0
7,9780399160455,Penguin Group,"As China threatens to invade Taiwan, the covert intelligence expert Jack Ryan Jr. aids his father’s administration  — but his agency is no longer secret.",0.0,THREAT VECTOR,Tom Clancy with Mark Greaney,,combined-print-and-e-book-fiction,2013-01-01,3.0
8,9780345527745,Random House Publishing,The New Jersey bounty hunter Stephanie Plum tracks a con man who disappeared from a hospital.,0.0,NOTORIOUS NINETEEN,Janet Evanovich,,combined-print-and-e-book-fiction,2013-01-01,2.0
9,9780156027328,Houghton Mifflin Harcourt Publishers,A teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck; now a movie.,0.0,LIFE OF PI,Yann Martel,,combined-print-and-e-book-fiction,2013-01-01,1.0
10,9780316069441,"Little, Brown & Company",The Los Angeles detective Harry Bosch links the bullet from a recent crime to the killing of a young female photographer during race riots in 1992.,0.0,THE BLACK BOX,Michael Connelly,,combined-print-and-e-book-fiction,2013-01-01,3.0
11,9780316228534,"Little, Brown & Company",The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town.,0.0,THE CASUAL VACANCY,J K Rowling,,combined-print-and-e-book-fiction,2013-01-01,6.0
12,9780345803498,Knopf Doubleday Publishing,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.,0.0,FIFTY SHADES DARKER,E L James,,combined-print-and-e-book-fiction,2013-01-01,1.0
13,9780345803504,Knopf Doubleday Publishing,The final book in an erotic trilogy.,0.0,FIFTY SHADES FREED,E L James,,combined-print-and-e-book-fiction,2013-01-01,1.0
14,A00B00ANDLC6K,Jessica Sorensen,"A boy and girl, both of whom have tragedy in their past, come together after a chance encounter in college.",0.0,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,,combined-print-and-e-book-fiction,2013-01-01,2.0
15,9781416595212,Simon & Schuster,The counterterrorism operative Mitch Rapp searches for a missing C.I.A. asset amid treachery in Afghanistan.,0.0,THE LAST MAN,Vince Flynn,,combined-print-and-e-book-fiction,2013-01-01,3.0
16,9781455516049,FaithWords,"A comatose businessman encounters Jesus, the Holy Spirit and God; from the author of “The Shack.”",0.0,CROSS ROADS,Wm Paul Young,,combined-print-and-e-book-fiction,2013-01-01,4.0
17,9781451627305,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,0.0,11/22/63,Stephen King,,combined-print-and-e-book-fiction,2013-01-01,3.0
18,9780385350280,Knopf Doubleday Publishing,Fifty-some years in the life of an African-American family whose matriarch arrives in Philadelphia in 1923.,0.0,THE TWELVE TRIBES OF HATTIE,Ayana Mathis,,combined-print-and-e-book-fiction,2013-01-01,4.0
19,9781401322786,Hyperion Press,"Banished for centuries, the inventor of the world’s first clock tries to redeem himself by teaching two earthly people the true meaning of time.",0.0,THE TIME KEEPER,Mitch Albom,,combined-print-and-e-book-fiction,2013-01-01,5.0
20,A00B00AOTGI08,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother.",0.0,FALLEN TOO FAR,Abbi Glines,,combined-print-and-e-book-fiction,2013-01-01,1.0
1,9780446574242,Grand Central Publishing,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,0.0,SAFE HAVEN,Nicholas Sparks,,combined-print-and-e-book-fiction,2013-02-01,5.0
2,A00B00AQ3K8IU,Colleen Hoover,The man who has been relentlessly pursuing Sky Davis is not who he pretends to be.,0.0,HOPELESS,Colleen Hoover,,combined-print-and-e-book-fiction,2013-02-01,1.0
3,9780307588388,Crown Publishing,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.0,GONE GIRL,Gillian Flynn,,combined-print-and-e-book-fiction,2013-02-01,26.0
4,9780446554008,Grand Central Publishing,"Tracking an assassin who is recreating the crimes of the four men who murdered presidents, Beecher White discovers that they all were working together.",0.0,THE FIFTH ASSASSIN,Brad Meltzer,,combined-print-and-e-book-fiction,2013-02-01,1.0
5,9781612130293,Knopf Doubleday Publishing,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,0.0,FIFTY SHADES OF GREY,E L James,,combined-print-and-e-book-fiction,2013-02-01,21.0
